tester,platform,testid
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0009a-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002i-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0020a-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0005a-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002h-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007b-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0009d-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002i-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007g-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0016c-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002b-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0010a-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007e-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0001b-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007c-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0010a-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007a-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002a-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002c-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0011b-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0001a-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0001b-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0003c-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007g-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0003b-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0020b-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0005a-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0019a-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0008b-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0016b-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002d-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0008c-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0009c-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002b-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0001b-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0012b-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0009a-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0001a-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0015b-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0019a-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0000-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0004a-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0010a-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002j-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0009b-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0020b-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007d-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007c-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0000-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0018a-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0003c-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002e-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007a-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002e-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0009a-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007b-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0019a-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0009a-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002b-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0016d-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0012a-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0015a-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0001b-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0003c-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0015a-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0019b-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0015a-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007c-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0000-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0015a-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007b-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0006a-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002g-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007e-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0003c-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007f-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0004b-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0016a-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007c-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0010c-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0015a-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007d-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0012a-SQLServer
